query_name,match_level,category,candidate_A_node,candidate_A_name,candidate_A_block,candidate_B_nodes,candidate_B_names,candidate_B_blocks,query_block,gold_curie,adjudication_method,difficulty_flag,retrievable@200,eligible_for
(15:3)-anacardic acid,CURATION,divergent (different compound),CHEBI:174627,"2-Hydroxy-6-(8,11,14-pentadecatrienyl)benzoic acid",QUVGEKPNSCFQIR,CHEBI:25569,nocardic acid,,QUVGEKPNSCFQIR,CHEBI:174627,inchikey_auto,connectivity_match,False,tier1
"(2S,3R,4S,5S,6R)-2-[3-hydroxy-5-[(Z)-2-(4-hydroxyphenyl)ethenyl]phenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",MS2,divergent (different compound),CHEBI:76155,cis-piceid,HSTZMXCBWJGKHG,CHEBI:94610,"(2S,3R,4S,5S,6R)-2-[3-hydroxy-5-[2-(4-hydroxyphenyl)ethenyl]phenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",HSTZMXCBWJGKHG,HSTZMXCBWJGKHG,,expert,ambiguous_shared_connectivity,False,
1 methylhistidine,MS2,multi-id (biomapper ambiguous set),CHEBI:70958,1-methylhistidine,BRMWTNUJHUMWMS,CHEBI:27596|CHEBI:50599,N(pros)-methyl-L-histidine|N(tele)-methyl-L-histidine,BRMWTNUJHUMWMS|BRMWTNUJHUMWMS,BRMWTNUJHUMWMS,,expert,ambiguous_shared_connectivity,True,
"1,2-propanediol",MS1,divergent (different compound),CHEBI:16997,"propane-1,2-diol",QIRATDLGJOBIQQ,CHEBI:26288,propanediol,ULWHHBHJGPPBCO,DNIAPMSPPWPWGF,,expert,no_candidate_matches_query,True,
1-(1-enyl-palmitoyl)-GPC (P-16:0),MS2,parent/child or substring (generic vs specific),CHEBI:140773,lysophosphatidylcholine P-16:0,,CHEBI:73841,lysophosphatidylcholine (P-16:0/0:0),,,,expert,query_unresolvable,False,
1-(1Z-octadecenyl)-sn-glycero-3-phosphocholine,MS2,divergent (different compound),CHEBI:137889,lysophosphatidylcholine P-18:0,,CHEBI:88779,LysoPC P-18:0/0:0,,WBOMIOWRFSPZMC,,expert,no_candidate_matches_query,False,
1-methylguanidine,MS2,parent/child or substring (generic vs specific),CHEBI:16628,methylguanidine,CHJJGSNFBQVOTG,CHEBI:189433,1-Methylguanidine hydrochloride,VJQCNCOGZPSOQZ,CHJJGSNFBQVOTG,CHEBI:16628,inchikey_auto,connectivity_match,False,tier1
1-methylxanthine,CURATION,divergent (different compound),CHEBI:68444,1-methyl-7H-xanthine,MVOYJPOZRLFTCP,CHEBI:68443,1-methylxanthine,MVOYJPOZRLFTCP,MVOYJPOZRLFTCP,,expert,ambiguous_shared_connectivity,True,
12-HHTrE,CURATION,parent/child or substring (generic vs specific),CHEBI:63977,12S-HHTrE,KUKJHGXXZWHSBG,CHEBI:72783,12-HHTrE,KUKJHGXXZWHSBG,KUKJHGXXZWHSBG,,expert,ambiguous_shared_connectivity,True,
2'-deoxyguanosine 5'-monophosphate (dGMP),MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:16192,2'-deoxyguanosine 5'-monophosphate,LTFMZDNNPPEQNG,CHEBI:57673,2'-deoxyguanosine 5'-monophosphate(2-),LTFMZDNNPPEQNG,,,expert,query_unresolvable,True,
